,Year,Defender,Opponent,Points_Against,Opponent_FG%
1959,2013-14,Nick Calathes,Giannis Antetokounmpo,8.0,0.667
1960,2013-14,Quincy Pondexter,Giannis Antetokounmpo,8.0,0.667
1961,2013-14,Tony Allen,Giannis Antetokounmpo,8.0,0.667
1962,2013-14,Tony Gaffney,Giannis Antetokounmpo,8.0,0.667
1963,2013-14,Brandon Knight,Giannis Antetokounmpo,8.0,0.667
1964,2013-14,Caron Butler,Giannis Antetokounmpo,8.0,0.667
1965,2013-14,John Henson,Giannis Antetokounmpo,8.0,0.667
1966,2013-14,Khris Middleton,Giannis Antetokounmpo,8.0,0.667
1967,2013-14,Larry Sanders,Giannis Antetokounmpo,8.0,0.667
1968,2013-14,Luke Ridnour,Giannis Antetokounmpo,8.0,0.667
1969,2013-14,Miroslav Raduljica,Giannis Antetokounmpo,8.0,0.667
1970,2013-14,O.J. Mayo,Giannis Antetokounmpo,8.0,0.667
1971,2013-14,Olek Czyz,Giannis Antetokounmpo,8.0,0.667
1972,2013-14,Stephen Graham,Giannis Antetokounmpo,8.0,0.667
1973,2013-14,Brandon Knight,Giannis Antetokounmpo,2.0,0.5
1974,2013-14,Caron Butler,Giannis Antetokounmpo,2.0,0.5
1975,2013-14,John Henson,Giannis Antetokounmpo,2.0,0.5
1976,2013-14,Khris Middleton,Giannis Antetokounmpo,2.0,0.5
1977,2013-14,Larry Sanders,Giannis Antetokounmpo,2.0,0.5
1978,2013-14,Luke Ridnour,Giannis Antetokounmpo,2.0,0.5
1979,2013-14,Miroslav Raduljica,Giannis Antetokounmpo,2.0,0.5
1980,2013-14,O.J. Mayo,Giannis Antetokounmpo,2.0,0.5
1981,2013-14,Olek Czyz,Giannis Antetokounmpo,2.0,0.5
1982,2013-14,Stephen Graham,Giannis Antetokounmpo,2.0,0.5
1983,2013-14,Anthony Tolliver,Giannis Antetokounmpo,2.0,0.5
1984,2013-14,Ben Gordon,Giannis Antetokounmpo,2.0,0.5
1985,2013-14,Bismack Biyombo,Giannis Antetokounmpo,2.0,0.5
1986,2013-14,Cody Zeller,Giannis Antetokounmpo,2.0,0.5
1987,2013-14,Gerald Henderson,Giannis Antetokounmpo,2.0,0.5
1988,2013-14,Jannero Pargo,Giannis Antetokounmpo,2.0,0.5
1989,2013-14,Josh McRoberts,Giannis Antetokounmpo,2.0,0.5
1990,2013-14,Kemba Walker,Giannis Antetokounmpo,2.0,0.5
1991,2013-14,Michael Kidd-Gilchrist,Giannis Antetokounmpo,2.0,0.5
1992,2013-14,Ramon Sessions,Giannis Antetokounmpo,2.0,0.5
1993,2013-14,AJ Price,Giannis Antetokounmpo,4.0,0.167
1994,2013-14,Alexey Shved,Giannis Antetokounmpo,4.0,0.167
1995,2013-14,Corey Brewer,Giannis Antetokounmpo,4.0,0.167
1996,2013-14,Dante Cunningham,Giannis Antetokounmpo,4.0,0.167
1997,2013-14,Gorgui Dieng,Giannis Antetokounmpo,4.0,0.167
1998,2013-14,J.J. Barea,Giannis Antetokounmpo,4.0,0.167
1999,2013-14,Kevin Love,Giannis Antetokounmpo,4.0,0.167
2000,2013-14,Lorenzo Brown,Giannis Antetokounmpo,4.0,0.167
2001,2013-14,Nikola Pekovic,Giannis Antetokounmpo,4.0,0.167
2002,2013-14,Othyus Jeffers,Giannis Antetokounmpo,4.0,0.167
2003,2013-14,Ricky Rubio,Giannis Antetokounmpo,4.0,0.167
2004,2013-14,Robbie Hummel,Giannis Antetokounmpo,4.0,0.167
2005,2013-14,Shabazz Muhammad,Giannis Antetokounmpo,4.0,0.167
2006,2013-14,Brandon Knight,Giannis Antetokounmpo,4.0,0.167
2007,2013-14,Caron Butler,Giannis Antetokounmpo,4.0,0.167
2008,2013-14,Gary Neal,Giannis Antetokounmpo,4.0,0.167
2009,2013-14,John Henson,Giannis Antetokounmpo,4.0,0.167
2010,2013-14,Khris Middleton,Giannis Antetokounmpo,4.0,0.167
2011,2013-14,Larry Sanders,Giannis Antetokounmpo,4.0,0.167
2012,2013-14,Luke Ridnour,Giannis Antetokounmpo,4.0,0.167
2013,2013-14,Miroslav Raduljica,Giannis Antetokounmpo,4.0,0.167
2014,2013-14,Nate Wolters,Giannis Antetokounmpo,4.0,0.167
2015,2013-14,O.J. Mayo,Giannis Antetokounmpo,4.0,0.167
2016,2013-14,Olek Czyz,Giannis Antetokounmpo,4.0,0.167
2017,2013-14,Stephen Graham,Giannis Antetokounmpo,4.0,0.167
2018,2013-14,Anderson Varejao,Giannis Antetokounmpo,14.0,0.428
2019,2013-14,Anthony Bennett,Giannis Antetokounmpo,14.0,0.428
2020,2013-14,CJ Miles,Giannis Antetokounmpo,14.0,0.428
2021,2013-14,Carrick Felix,Giannis Antetokounmpo,14.0,0.428
2022,2013-14,DeSagana Diop,Giannis Antetokounmpo,14.0,0.428
2023,2013-14,Dion Waiters,Giannis Antetokounmpo,14.0,0.428
2024,2013-14,Earl Clark,Giannis Antetokounmpo,14.0,0.428
2025,2013-14,Elliot Williams,Giannis Antetokounmpo,14.0,0.428
2026,2013-14,Henry Sims,Giannis Antetokounmpo,14.0,0.428
2027,2013-14,Jarrett Jack,Giannis Antetokounmpo,14.0,0.428
2028,2013-14,Jermaine Taylor,Giannis Antetokounmpo,14.0,0.428
2029,2013-14,Kenny Kadji,Giannis Antetokounmpo,14.0,0.428
2030,2013-14,Kyrie Irving,Giannis Antetokounmpo,14.0,0.428
2031,2013-14,Matthew Dellavedova,Giannis Antetokounmpo,14.0,0.428
2032,2013-14,Michael Lee,Giannis Antetokounmpo,14.0,0.428
2033,2013-14,Sergey Karasev,Giannis Antetokounmpo,14.0,0.428
2034,2013-14,Tristan Thompson,Giannis Antetokounmpo,14.0,0.428
2035,2013-14,Brandon Knight,Giannis Antetokounmpo,14.0,0.428
2036,2013-14,Caron Butler,Giannis Antetokounmpo,14.0,0.428
2037,2013-14,Ersan Ilyasova,Giannis Antetokounmpo,14.0,0.428
2038,2013-14,Gary Neal,Giannis Antetokounmpo,14.0,0.428
2039,2013-14,John Henson,Giannis Antetokounmpo,14.0,0.428
2040,2013-14,Khris Middleton,Giannis Antetokounmpo,14.0,0.428
2041,2013-14,Larry Sanders,Giannis Antetokounmpo,14.0,0.428
2042,2013-14,Luke Ridnour,Giannis Antetokounmpo,14.0,0.428
2043,2013-14,Miroslav Raduljica,Giannis Antetokounmpo,14.0,0.428
2044,2013-14,Nate Wolters,Giannis Antetokounmpo,14.0,0.428
2045,2013-14,O.J. Mayo,Giannis Antetokounmpo,14.0,0.428
2046,2013-14,Olek Czyz,Giannis Antetokounmpo,14.0,0.428
2047,2013-14,Stephen Graham,Giannis Antetokounmpo,14.0,0.428
2048,2013-14,Trey McKinney-Jones,Giannis Antetokounmpo,14.0,0.428
2049,2014-15,Mike Dunleavy,Giannis Antetokounmpo,5.0,0.333
2050,2014-15,Pau Gasol,Giannis Antetokounmpo,5.0,0.333
2051,2014-15,Joakim Noah,Giannis Antetokounmpo,5.0,0.333
2052,2014-15,Jimmy Butler,Giannis Antetokounmpo,5.0,0.333
2053,2014-15,Derrick Rose,Giannis Antetokounmpo,5.0,0.333
2054,2014-15,Taj Gibson,Giannis Antetokounmpo,5.0,0.333
2055,2014-15,Aaron Brooks,Giannis Antetokounmpo,5.0,0.333
2056,2014-15,Kirk Hinrich,Giannis Antetokounmpo,5.0,0.333
2057,2014-15,Nikola Mirotic,Giannis Antetokounmpo,5.0,0.333
2058,2014-15,Tony Snell,Giannis Antetokounmpo,5.0,0.333
2059,2014-15,Nazr Mohammed,Giannis Antetokounmpo,5.0,0.333
2060,2014-15,Doug McDermott,Giannis Antetokounmpo,5.0,0.333
2061,2014-15,E'Twaun Moore,Giannis Antetokounmpo,5.0,0.333
2062,2014-15,Ersan Ilyasova,Giannis Antetokounmpo,5.0,0.333
2063,2014-15,Zaza Pachulia,Giannis Antetokounmpo,5.0,0.333
2064,2014-15,Khris Middleton,Giannis Antetokounmpo,5.0,0.333
2065,2014-15,Michael Carter-Williams,Giannis Antetokounmpo,5.0,0.333
2066,2014-15,Jerryd Bayless,Giannis Antetokounmpo,5.0,0.333
2067,2014-15,O.J. Mayo,Giannis Antetokounmpo,5.0,0.333
2068,2014-15,John Henson,Giannis Antetokounmpo,5.0,0.333
2069,2014-15,Jared Dudley,Giannis Antetokounmpo,5.0,0.333
2070,2014-15,Tyler Ennis,Giannis Antetokounmpo,5.0,0.333
2071,2014-15,Miles Plumlee,Giannis Antetokounmpo,5.0,0.333
2072,2014-15,Johnny O'Bryant III,Giannis Antetokounmpo,5.0,0.333
2073,2014-15,Jorge Gutierrez,Giannis Antetokounmpo,5.0,0.333
2074,2014-15,Ersan Ilyasova,Giannis Antetokounmpo,11.0,0.417
2075,2014-15,Zaza Pachulia,Giannis Antetokounmpo,11.0,0.417
2076,2014-15,Khris Middleton,Giannis Antetokounmpo,11.0,0.417
2077,2014-15,Michael Carter-Williams,Giannis Antetokounmpo,11.0,0.417
2078,2014-15,Jared Dudley,Giannis Antetokounmpo,11.0,0.417
2079,2014-15,John Henson,Giannis Antetokounmpo,11.0,0.417
2080,2014-15,O.J. Mayo,Giannis Antetokounmpo,11.0,0.417
2081,2014-15,Jerryd Bayless,Giannis Antetokounmpo,11.0,0.417
2082,2014-15,Tyler Ennis,Giannis Antetokounmpo,11.0,0.417
2083,2014-15,Jorge Gutierrez,Giannis Antetokounmpo,11.0,0.417
2084,2014-15,Johnny O'Bryant III,Giannis Antetokounmpo,11.0,0.417
2085,2014-15,Miles Plumlee,Giannis Antetokounmpo,11.0,0.417
2086,2014-15,Mike Dunleavy,Giannis Antetokounmpo,11.0,0.417
2087,2014-15,Pau Gasol,Giannis Antetokounmpo,11.0,0.417
2088,2014-15,Joakim Noah,Giannis Antetokounmpo,11.0,0.417
2089,2014-15,Jimmy Butler,Giannis Antetokounmpo,11.0,0.417
2090,2014-15,Derrick Rose,Giannis Antetokounmpo,11.0,0.417
2091,2014-15,Taj Gibson,Giannis Antetokounmpo,11.0,0.417
2092,2014-15,Kirk Hinrich,Giannis Antetokounmpo,11.0,0.417
2093,2014-15,Nikola Mirotic,Giannis Antetokounmpo,11.0,0.417
2094,2014-15,Aaron Brooks,Giannis Antetokounmpo,11.0,0.417
2095,2014-15,Tony Snell,Giannis Antetokounmpo,11.0,0.417
2096,2014-15,Doug McDermott,Giannis Antetokounmpo,11.0,0.417
2097,2014-15,Nazr Mohammed,Giannis Antetokounmpo,11.0,0.417
2098,2014-15,E'Twaun Moore,Giannis Antetokounmpo,11.0,0.417
2099,2014-15,Mike Dunleavy,Giannis Antetokounmpo,10.0,0.429
2100,2014-15,Pau Gasol,Giannis Antetokounmpo,10.0,0.429
2101,2014-15,Joakim Noah,Giannis Antetokounmpo,10.0,0.429
2102,2014-15,Jimmy Butler,Giannis Antetokounmpo,10.0,0.429
2103,2014-15,Derrick Rose,Giannis Antetokounmpo,10.0,0.429
2104,2014-15,Taj Gibson,Giannis Antetokounmpo,10.0,0.429
2105,2014-15,Nikola Mirotic,Giannis Antetokounmpo,10.0,0.429
2106,2014-15,Aaron Brooks,Giannis Antetokounmpo,10.0,0.429
2107,2014-15,Tony Snell,Giannis Antetokounmpo,10.0,0.429
2108,2014-15,Kirk Hinrich,Giannis Antetokounmpo,10.0,0.429
2109,2014-15,Doug McDermott,Giannis Antetokounmpo,10.0,0.429
2110,2014-15,Nazr Mohammed,Giannis Antetokounmpo,10.0,0.429
2111,2014-15,E'Twaun Moore,Giannis Antetokounmpo,10.0,0.429
2112,2014-15,Ersan Ilyasova,Giannis Antetokounmpo,10.0,0.429
2113,2014-15,Zaza Pachulia,Giannis Antetokounmpo,10.0,0.429
2114,2014-15,Khris Middleton,Giannis Antetokounmpo,10.0,0.429
2115,2014-15,Michael Carter-Williams,Giannis Antetokounmpo,10.0,0.429
2116,2014-15,John Henson,Giannis Antetokounmpo,10.0,0.429
2117,2014-15,O.J. Mayo,Giannis Antetokounmpo,10.0,0.429
2118,2014-15,Jared Dudley,Giannis Antetokounmpo,10.0,0.429
2119,2014-15,Jerryd Bayless,Giannis Antetokounmpo,10.0,0.429
2120,2014-15,Tyler Ennis,Giannis Antetokounmpo,10.0,0.429
2121,2014-15,Jorge Gutierrez,Giannis Antetokounmpo,10.0,0.429
2122,2014-15,Johnny O'Bryant III,Giannis Antetokounmpo,10.0,0.429
2123,2014-15,Miles Plumlee,Giannis Antetokounmpo,10.0,0.429
2124,2014-15,Mike Dunleavy,Giannis Antetokounmpo,25.0,0.455
2125,2014-15,Pau Gasol,Giannis Antetokounmpo,25.0,0.455
2126,2014-15,Joakim Noah,Giannis Antetokounmpo,25.0,0.455
2127,2014-15,Jimmy Butler,Giannis Antetokounmpo,25.0,0.455
2128,2014-15,Derrick Rose,Giannis Antetokounmpo,25.0,0.455
2129,2014-15,Tony Snell,Giannis Antetokounmpo,25.0,0.455
2130,2014-15,Taj Gibson,Giannis Antetokounmpo,25.0,0.455
2131,2014-15,Kirk Hinrich,Giannis Antetokounmpo,25.0,0.455
2132,2014-15,Aaron Brooks,Giannis Antetokounmpo,25.0,0.455
2133,2014-15,Cameron Bairstow,Giannis Antetokounmpo,25.0,0.455
2134,2014-15,Doug McDermott,Giannis Antetokounmpo,25.0,0.455
2135,2014-15,Nazr Mohammed,Giannis Antetokounmpo,25.0,0.455
2136,2014-15,E'Twaun Moore,Giannis Antetokounmpo,25.0,0.455
2137,2014-15,Ersan Ilyasova,Giannis Antetokounmpo,25.0,0.455
2138,2014-15,Zaza Pachulia,Giannis Antetokounmpo,25.0,0.455
2139,2014-15,Khris Middleton,Giannis Antetokounmpo,25.0,0.455
2140,2014-15,Michael Carter-Williams,Giannis Antetokounmpo,25.0,0.455
2141,2014-15,John Henson,Giannis Antetokounmpo,25.0,0.455
2142,2014-15,Jared Dudley,Giannis Antetokounmpo,25.0,0.455
2143,2014-15,O.J. Mayo,Giannis Antetokounmpo,25.0,0.455
2144,2014-15,Jerryd Bayless,Giannis Antetokounmpo,25.0,0.455
2145,2014-15,Tyler Ennis,Giannis Antetokounmpo,25.0,0.455
2146,2014-15,Jorge Gutierrez,Giannis Antetokounmpo,25.0,0.455
2147,2014-15,Johnny O'Bryant III,Giannis Antetokounmpo,25.0,0.455
2148,2014-15,Miles Plumlee,Giannis Antetokounmpo,25.0,0.455
2149,2014-15,Ersan Ilyasova,Giannis Antetokounmpo,6.0,0.182
2150,2014-15,Zaza Pachulia,Giannis Antetokounmpo,6.0,0.182
2151,2014-15,Khris Middleton,Giannis Antetokounmpo,6.0,0.182
2152,2014-15,Michael Carter-Williams,Giannis Antetokounmpo,6.0,0.182
2153,2014-15,John Henson,Giannis Antetokounmpo,6.0,0.182
2154,2014-15,Jared Dudley,Giannis Antetokounmpo,6.0,0.182
2155,2014-15,Jerryd Bayless,Giannis Antetokounmpo,6.0,0.182
2156,2014-15,O.J. Mayo,Giannis Antetokounmpo,6.0,0.182
2157,2014-15,Tyler Ennis,Giannis Antetokounmpo,6.0,0.182
2158,2014-15,Jorge Gutierrez,Giannis Antetokounmpo,6.0,0.182
2159,2014-15,Johnny O'Bryant III,Giannis Antetokounmpo,6.0,0.182
2160,2014-15,Miles Plumlee,Giannis Antetokounmpo,6.0,0.182
2161,2014-15,Mike Dunleavy,Giannis Antetokounmpo,6.0,0.182
2162,2014-15,Pau Gasol,Giannis Antetokounmpo,6.0,0.182
2163,2014-15,Joakim Noah,Giannis Antetokounmpo,6.0,0.182
2164,2014-15,Jimmy Butler,Giannis Antetokounmpo,6.0,0.182
2165,2014-15,Derrick Rose,Giannis Antetokounmpo,6.0,0.182
2166,2014-15,Taj Gibson,Giannis Antetokounmpo,6.0,0.182
2167,2014-15,Tony Snell,Giannis Antetokounmpo,6.0,0.182
2168,2014-15,Nikola Mirotic,Giannis Antetokounmpo,6.0,0.182
2169,2014-15,Aaron Brooks,Giannis Antetokounmpo,6.0,0.182
2170,2014-15,Cameron Bairstow,Giannis Antetokounmpo,6.0,0.182
2171,2014-15,Doug McDermott,Giannis Antetokounmpo,6.0,0.182
2172,2014-15,Nazr Mohammed,Giannis Antetokounmpo,6.0,0.182
2173,2014-15,E'Twaun Moore,Giannis Antetokounmpo,6.0,0.182
2174,2014-15,Ersan Ilyasova,Giannis Antetokounmpo,12.0,0.308
2175,2014-15,Zaza Pachulia,Giannis Antetokounmpo,12.0,0.308
2176,2014-15,Khris Middleton,Giannis Antetokounmpo,12.0,0.308
2177,2014-15,Michael Carter-Williams,Giannis Antetokounmpo,12.0,0.308
2178,2014-15,Jerryd Bayless,Giannis Antetokounmpo,12.0,0.308
2179,2014-15,O.J. Mayo,Giannis Antetokounmpo,12.0,0.308
2180,2014-15,John Henson,Giannis Antetokounmpo,12.0,0.308
2181,2014-15,Jared Dudley,Giannis Antetokounmpo,12.0,0.308
2182,2014-15,Tyler Ennis,Giannis Antetokounmpo,12.0,0.308
2183,2014-15,Jorge Gutierrez,Giannis Antetokounmpo,12.0,0.308
2184,2014-15,Johnny O'Bryant III,Giannis Antetokounmpo,12.0,0.308
2185,2014-15,Miles Plumlee,Giannis Antetokounmpo,12.0,0.308
2186,2014-15,Mike Dunleavy,Giannis Antetokounmpo,12.0,0.308
2187,2014-15,Pau Gasol,Giannis Antetokounmpo,12.0,0.308
2188,2014-15,Joakim Noah,Giannis Antetokounmpo,12.0,0.308
2189,2014-15,Jimmy Butler,Giannis Antetokounmpo,12.0,0.308
2190,2014-15,Derrick Rose,Giannis Antetokounmpo,12.0,0.308
2191,2014-15,Tony Snell,Giannis Antetokounmpo,12.0,0.308
2192,2014-15,Aaron Brooks,Giannis Antetokounmpo,12.0,0.308
2193,2014-15,Taj Gibson,Giannis Antetokounmpo,12.0,0.308
2194,2014-15,Nikola Mirotic,Giannis Antetokounmpo,12.0,0.308
2195,2014-15,Cameron Bairstow,Giannis Antetokounmpo,12.0,0.308
2196,2014-15,Doug McDermott,Giannis Antetokounmpo,12.0,0.308
2197,2014-15,Nazr Mohammed,Giannis Antetokounmpo,12.0,0.308
2198,2014-15,E'Twaun Moore,Giannis Antetokounmpo,12.0,0.308
2199,2014-15,Evan Turner,Giannis Antetokounmpo,3.0,0.167
2200,2014-15,Brandon Bass,Giannis Antetokounmpo,3.0,0.167
2201,2014-15,Tyler Zeller,Giannis Antetokounmpo,3.0,0.167
2202,2014-15,Gigi Datome,Giannis Antetokounmpo,3.0,0.167
2203,2014-15,Marcus Smart,Giannis Antetokounmpo,3.0,0.167
2204,2014-15,Gerald Wallace,Giannis Antetokounmpo,3.0,0.167
2205,2014-15,Jared Sullinger,Giannis Antetokounmpo,3.0,0.167
2206,2014-15,Phil Pressey,Giannis Antetokounmpo,3.0,0.167
2207,2014-15,Kelly Olynyk,Giannis Antetokounmpo,3.0,0.167
2208,2014-15,Jonas Jerebko,Giannis Antetokounmpo,3.0,0.167
2209,2014-15,James Young,Giannis Antetokounmpo,3.0,0.167
2210,2014-15,Chris Babb,Giannis Antetokounmpo,3.0,0.167
2211,2014-15,Jae Crowder,Giannis Antetokounmpo,3.0,0.167
2212,2014-15,Ersan Ilyasova,Giannis Antetokounmpo,3.0,0.167
2213,2014-15,Zaza Pachulia,Giannis Antetokounmpo,3.0,0.167
2214,2014-15,Khris Middleton,Giannis Antetokounmpo,3.0,0.167
2215,2014-15,Michael Carter-Williams,Giannis Antetokounmpo,3.0,0.167
2216,2014-15,Johnny O'Bryant III,Giannis Antetokounmpo,3.0,0.167
2217,2014-15,John Henson,Giannis Antetokounmpo,3.0,0.167
2218,2014-15,Tyler Ennis,Giannis Antetokounmpo,3.0,0.167
2219,2014-15,O.J. Mayo,Giannis Antetokounmpo,3.0,0.167
2220,2014-15,Jorge Gutierrez,Giannis Antetokounmpo,3.0,0.167
2221,2014-15,Miles Plumlee,Giannis Antetokounmpo,3.0,0.167
2222,2014-15,Jerryd Bayless,Giannis Antetokounmpo,3.0,0.167
2223,2014-15,Jared Dudley,Giannis Antetokounmpo,3.0,0.167
2224,2014-15,Ersan Ilyasova,Giannis Antetokounmpo,12.0,0.333
2225,2014-15,Zaza Pachulia,Giannis Antetokounmpo,12.0,0.333
2226,2014-15,Khris Middleton,Giannis Antetokounmpo,12.0,0.333
2227,2014-15,Michael Carter-Williams,Giannis Antetokounmpo,12.0,0.333
2228,2014-15,O.J. Mayo,Giannis Antetokounmpo,12.0,0.333
2229,2014-15,John Henson,Giannis Antetokounmpo,12.0,0.333
2230,2014-15,Jerryd Bayless,Giannis Antetokounmpo,12.0,0.333
2231,2014-15,Jorge Gutierrez,Giannis Antetokounmpo,12.0,0.333
2232,2014-15,Miles Plumlee,Giannis Antetokounmpo,12.0,0.333
2233,2014-15,Tyler Ennis,Giannis Antetokounmpo,12.0,0.333
2234,2014-15,Jared Dudley,Giannis Antetokounmpo,12.0,0.333
2235,2014-15,Johnny O'Bryant III,Giannis Antetokounmpo,12.0,0.333
2236,2014-15,Robert Covington,Giannis Antetokounmpo,12.0,0.333
2237,2014-15,Jerami Grant,Giannis Antetokounmpo,12.0,0.333
2238,2014-15,Furkan Aldemir,Giannis Antetokounmpo,12.0,0.333
2239,2014-15,Hollis Thompson,Giannis Antetokounmpo,12.0,0.333
2240,2014-15,Ish Smith,Giannis Antetokounmpo,12.0,0.333
2241,2014-15,Thomas Robinson,Giannis Antetokounmpo,12.0,0.333
2242,2014-15,Glenn Robinson III,Giannis Antetokounmpo,12.0,0.333
2243,2014-15,Henry Sims,Giannis Antetokounmpo,12.0,0.333
2244,2014-15,JaKarr Sampson,Giannis Antetokounmpo,12.0,0.333
2245,2014-15,Isaiah Canaan,Giannis Antetokounmpo,12.0,0.333
2246,2014-15,Luc Mbah a Moute,Giannis Antetokounmpo,12.0,0.333
2247,2014-15,Nerlens Noel,Giannis Antetokounmpo,12.0,0.333
2248,2014-15,Jason Richardson,Giannis Antetokounmpo,12.0,0.333
2249,2014-15,Joe Johnson,Giannis Antetokounmpo,13.0,0.429
2250,2014-15,Thaddeus Young,Giannis Antetokounmpo,13.0,0.429
2251,2014-15,Brook Lopez,Giannis Antetokounmpo,13.0,0.429
2252,2014-15,Markel Brown,Giannis Antetokounmpo,13.0,0.429
2253,2014-15,Deron Williams,Giannis Antetokounmpo,13.0,0.429
2254,2014-15,Bojan Bogdanovic,Giannis Antetokounmpo,13.0,0.429
2255,2014-15,Mason Plumlee,Giannis Antetokounmpo,13.0,0.429
2256,2014-15,Jarrett Jack,Giannis Antetokounmpo,13.0,0.429
2257,2014-15,Earl Clark,Giannis Antetokounmpo,13.0,0.429
2258,2014-15,Darius Morris,Giannis Antetokounmpo,13.0,0.429
2259,2014-15,Cory Jefferson,Giannis Antetokounmpo,13.0,0.429
2260,2014-15,Alan Anderson,Giannis Antetokounmpo,13.0,0.429
2261,2014-15,Jerome Jordan,Giannis Antetokounmpo,13.0,0.429
2262,2014-15,Ersan Ilyasova,Giannis Antetokounmpo,13.0,0.429
2263,2014-15,Zaza Pachulia,Giannis Antetokounmpo,13.0,0.429
2264,2014-15,Khris Middleton,Giannis Antetokounmpo,13.0,0.429
2265,2014-15,Michael Carter-Williams,Giannis Antetokounmpo,13.0,0.429
2266,2014-15,Jared Dudley,Giannis Antetokounmpo,13.0,0.429
2267,2014-15,O.J. Mayo,Giannis Antetokounmpo,13.0,0.429
2268,2014-15,John Henson,Giannis Antetokounmpo,13.0,0.429
2269,2014-15,Jerryd Bayless,Giannis Antetokounmpo,13.0,0.429
2270,2014-15,Tyler Ennis,Giannis Antetokounmpo,13.0,0.429
2271,2014-15,Miles Plumlee,Giannis Antetokounmpo,13.0,0.429
2272,2014-15,Jorge Gutierrez,Giannis Antetokounmpo,13.0,0.429
2273,2014-15,Johnny O'Bryant III,Giannis Antetokounmpo,13.0,0.429
2274,2014-15,Ersan Ilyasova,Giannis Antetokounmpo,23.0,0.5
2275,2014-15,Zaza Pachulia,Giannis Antetokounmpo,23.0,0.5
2276,2014-15,Michael Carter-Williams,Giannis Antetokounmpo,23.0,0.5
2277,2014-15,Khris Middleton,Giannis Antetokounmpo,23.0,0.5
2278,2014-15,John Henson,Giannis Antetokounmpo,23.0,0.5
2279,2014-15,O.J. Mayo,Giannis Antetokounmpo,23.0,0.5
2280,2014-15,Jared Dudley,Giannis Antetokounmpo,23.0,0.5
2281,2014-15,Jerryd Bayless,Giannis Antetokounmpo,23.0,0.5
2282,2014-15,Tyler Ennis,Giannis Antetokounmpo,23.0,0.5
2283,2014-15,Miles Plumlee,Giannis Antetokounmpo,23.0,0.5
2284,2014-15,Johnny O'Bryant III,Giannis Antetokounmpo,23.0,0.5
2285,2014-15,Jorge Gutierrez,Giannis Antetokounmpo,23.0,0.5
2286,2014-15,Quincy Acy,Giannis Antetokounmpo,23.0,0.5
2287,2014-15,Lance Thomas,Giannis Antetokounmpo,23.0,0.5
2288,2014-15,Cole Aldrich,Giannis Antetokounmpo,23.0,0.5
2289,2014-15,Langston Galloway,Giannis Antetokounmpo,23.0,0.5
2290,2014-15,Tim Hardaway Jr.,Giannis Antetokounmpo,23.0,0.5
2291,2014-15,Lou Amundson,Giannis Antetokounmpo,23.0,0.5
2292,2014-15,Shane Larkin,Giannis Antetokounmpo,23.0,0.5
2293,2014-15,Jason Smith,Giannis Antetokounmpo,23.0,0.5
2294,2014-15,Ricky Ledo,Giannis Antetokounmpo,23.0,0.5
2295,2014-15,Andrea Bargnani,Giannis Antetokounmpo,23.0,0.5
2296,2014-15,Cleanthony Early,Giannis Antetokounmpo,23.0,0.5
2297,2014-15,Travis Wear,Giannis Antetokounmpo,23.0,0.5
2298,2014-15,Tobias Harris,Giannis Antetokounmpo,8.0,0.25
2299,2014-15,Dewayne Dedmon,Giannis Antetokounmpo,8.0,0.25
2300,2014-15,Nikola Vucevic,Giannis Antetokounmpo,8.0,0.25
2301,2014-15,Victor Oladipo,Giannis Antetokounmpo,8.0,0.25
2302,2014-15,Elfrid Payton,Giannis Antetokounmpo,8.0,0.25
2303,2014-15,Aaron Gordon,Giannis Antetokounmpo,8.0,0.25
2304,2014-15,Willie Green,Giannis Antetokounmpo,8.0,0.25
2305,2014-15,Andrew Nicholson,Giannis Antetokounmpo,8.0,0.25
2306,2014-15,Channing Frye,Giannis Antetokounmpo,8.0,0.25
2307,2014-15,Ben Gordon,Giannis Antetokounmpo,8.0,0.25
2308,2014-15,Maurice Harkless,Giannis Antetokounmpo,8.0,0.25
2309,2014-15,Kyle O'Quinn,Giannis Antetokounmpo,8.0,0.25
2310,2014-15,Luke Ridnour,Giannis Antetokounmpo,8.0,0.25
2311,2014-15,Ersan Ilyasova,Giannis Antetokounmpo,8.0,0.25
2312,2014-15,Zaza Pachulia,Giannis Antetokounmpo,8.0,0.25
2313,2014-15,Khris Middleton,Giannis Antetokounmpo,8.0,0.25
2314,2014-15,Michael Carter-Williams,Giannis Antetokounmpo,8.0,0.25
2315,2014-15,O.J. Mayo,Giannis Antetokounmpo,8.0,0.25
2316,2014-15,John Henson,Giannis Antetokounmpo,8.0,0.25
2317,2014-15,Jared Dudley,Giannis Antetokounmpo,8.0,0.25
2318,2014-15,Jerryd Bayless,Giannis Antetokounmpo,8.0,0.25
2319,2014-15,Tyler Ennis,Giannis Antetokounmpo,8.0,0.25
2320,2014-15,Johnny O'Bryant III,Giannis Antetokounmpo,8.0,0.25
2321,2014-15,Miles Plumlee,Giannis Antetokounmpo,8.0,0.25
2322,2014-15,Ersan Ilyasova,Giannis Antetokounmpo,11.0,0.625
2323,2014-15,Zaza Pachulia,Giannis Antetokounmpo,11.0,0.625
2324,2014-15,Khris Middleton,Giannis Antetokounmpo,11.0,0.625
2325,2014-15,Michael Carter-Williams,Giannis Antetokounmpo,11.0,0.625
2326,2014-15,Jared Dudley,Giannis Antetokounmpo,11.0,0.625
