,Year,Defender,Opponent,Points_Against,Opponent_FG%
111,2013-14,Brandon Knight,Giannis Antetokounmpo,2.0,0.25
112,2013-14,John Henson,Giannis Antetokounmpo,2.0,0.25
113,2013-14,Chris Wright,Giannis Antetokounmpo,2.0,0.25
114,2013-14,O.J. Mayo,Giannis Antetokounmpo,2.0,0.25
115,2013-14,Miroslav Raduljica,Giannis Antetokounmpo,2.0,0.25
116,2013-14,Larry Sanders,Giannis Antetokounmpo,2.0,0.25
117,2013-14,Ekpe Udoh,Giannis Antetokounmpo,2.0,0.25
118,2013-14,Terrence Ross,Giannis Antetokounmpo,4.0,0.167
119,2013-14,Patrick Patterson,Giannis Antetokounmpo,4.0,0.167
120,2013-14,Jonas Valanciunas,Giannis Antetokounmpo,4.0,0.167
121,2013-14,DeMar DeRozan,Giannis Antetokounmpo,4.0,0.167
122,2013-14,Greivis Vasquez,Giannis Antetokounmpo,4.0,0.167
123,2013-14,Tyler Hansbrough,Giannis Antetokounmpo,4.0,0.167
124,2013-14,John Salmons,Giannis Antetokounmpo,4.0,0.167
125,2013-14,Nando De Colo,Giannis Antetokounmpo,4.0,0.167
126,2013-14,Steve Novak,Giannis Antetokounmpo,4.0,0.167
127,2013-14,Chuck Hayes,Giannis Antetokounmpo,4.0,0.167
128,2013-14,Dwight Buycks,Giannis Antetokounmpo,4.0,0.167
129,2013-14,Landry Fields,Giannis Antetokounmpo,4.0,0.167
130,2013-14,Julyan Stone,Giannis Antetokounmpo,4.0,0.167
131,2013-14,Khris Middleton,Giannis Antetokounmpo,4.0,0.167
132,2013-14,Jeff Adrien,Giannis Antetokounmpo,4.0,0.167
133,2013-14,Zaza Pachulia,Giannis Antetokounmpo,4.0,0.167
134,2013-14,Ramon Sessions,Giannis Antetokounmpo,4.0,0.167
135,2013-14,Brandon Knight,Giannis Antetokounmpo,4.0,0.167
136,2013-14,John Henson,Giannis Antetokounmpo,4.0,0.167
137,2013-14,Chris Wright,Giannis Antetokounmpo,4.0,0.167
138,2013-14,Ersan Ilyasova,Giannis Antetokounmpo,4.0,0.167
139,2013-14,O.J. Mayo,Giannis Antetokounmpo,4.0,0.167
140,2013-14,Miroslav Raduljica,Giannis Antetokounmpo,4.0,0.167
141,2013-14,Ekpe Udoh,Giannis Antetokounmpo,4.0,0.167
142,2013-14,Nate Wolters,Giannis Antetokounmpo,4.0,0.167
143,2013-14,Khris Middleton,Giannis Antetokounmpo,4.0,0.167
144,2013-14,Jeff Adrien,Giannis Antetokounmpo,4.0,0.167
145,2013-14,Zaza Pachulia,Giannis Antetokounmpo,4.0,0.167
146,2013-14,Ramon Sessions,Giannis Antetokounmpo,4.0,0.167
147,2013-14,Brandon Knight,Giannis Antetokounmpo,4.0,0.167
148,2013-14,John Henson,Giannis Antetokounmpo,4.0,0.167
149,2013-14,DJ Stephens,Giannis Antetokounmpo,4.0,0.167
150,2013-14,Ersan Ilyasova,Giannis Antetokounmpo,4.0,0.167
151,2013-14,O.J. Mayo,Giannis Antetokounmpo,4.0,0.167
152,2013-14,Miroslav Raduljica,Giannis Antetokounmpo,4.0,0.167
153,2013-14,Ekpe Udoh,Giannis Antetokounmpo,4.0,0.167
154,2013-14,Nate Wolters,Giannis Antetokounmpo,4.0,0.167
155,2013-14,Mike Dunleavy,Giannis Antetokounmpo,4.0,0.167
156,2013-14,Carlos Boozer,Giannis Antetokounmpo,4.0,0.167
157,2013-14,Joakim Noah,Giannis Antetokounmpo,4.0,0.167
158,2013-14,Jimmy Butler,Giannis Antetokounmpo,4.0,0.167
159,2013-14,Kirk Hinrich,Giannis Antetokounmpo,4.0,0.167
160,2013-14,D.J. Augustin,Giannis Antetokounmpo,4.0,0.167
161,2013-14,Taj Gibson,Giannis Antetokounmpo,4.0,0.167
162,2013-14,Nazr Mohammed,Giannis Antetokounmpo,4.0,0.167
163,2013-14,Tony Snell,Giannis Antetokounmpo,4.0,0.167
164,2013-14,Jimmer Fredette,Giannis Antetokounmpo,4.0,0.167
165,2013-14,Tornike Shengelia,Giannis Antetokounmpo,4.0,0.167
166,2013-14,Khris Middleton,Giannis Antetokounmpo,5.0,0.4
167,2013-14,Jeff Adrien,Giannis Antetokounmpo,5.0,0.4
168,2013-14,Zaza Pachulia,Giannis Antetokounmpo,5.0,0.4
169,2013-14,Ramon Sessions,Giannis Antetokounmpo,5.0,0.4
170,2013-14,Brandon Knight,Giannis Antetokounmpo,5.0,0.4
171,2013-14,John Henson,Giannis Antetokounmpo,5.0,0.4
172,2013-14,Ekpe Udoh,Giannis Antetokounmpo,5.0,0.4
173,2013-14,Miroslav Raduljica,Giannis Antetokounmpo,5.0,0.4
174,2013-14,DJ Stephens,Giannis Antetokounmpo,5.0,0.4
175,2013-14,Ersan Ilyasova,Giannis Antetokounmpo,5.0,0.4
176,2013-14,O.J. Mayo,Giannis Antetokounmpo,5.0,0.4
177,2013-14,Nate Wolters,Giannis Antetokounmpo,5.0,0.4
178,2013-14,LeBron James,Giannis Antetokounmpo,5.0,0.4
179,2013-14,Udonis Haslem,Giannis Antetokounmpo,5.0,0.4
180,2013-14,Chris Bosh,Giannis Antetokounmpo,5.0,0.4
181,2013-14,Toney Douglas,Giannis Antetokounmpo,5.0,0.4
182,2013-14,Mario Chalmers,Giannis Antetokounmpo,5.0,0.4
183,2013-14,James Jones,Giannis Antetokounmpo,5.0,0.4
184,2013-14,Chris Andersen,Giannis Antetokounmpo,5.0,0.4
185,2013-14,Rashard Lewis,Giannis Antetokounmpo,5.0,0.4
186,2013-14,Norris Cole,Giannis Antetokounmpo,5.0,0.4
187,2013-14,Justin Hamilton,Giannis Antetokounmpo,5.0,0.4
188,2013-14,Michael Beasley,Giannis Antetokounmpo,5.0,0.4
189,2013-14,Shane Battier,Giannis Antetokounmpo,5.0,0.4
190,2013-14,Ray Allen,Giannis Antetokounmpo,5.0,0.4
191,2013-14,Khris Middleton,Giannis Antetokounmpo,14.0,0.667
192,2013-14,Jeff Adrien,Giannis Antetokounmpo,14.0,0.667
193,2013-14,Zaza Pachulia,Giannis Antetokounmpo,14.0,0.667
194,2013-14,Ramon Sessions,Giannis Antetokounmpo,14.0,0.667
195,2013-14,Brandon Knight,Giannis Antetokounmpo,14.0,0.667
196,2013-14,John Henson,Giannis Antetokounmpo,14.0,0.667
197,2013-14,Ekpe Udoh,Giannis Antetokounmpo,14.0,0.667
198,2013-14,Ersan Ilyasova,Giannis Antetokounmpo,14.0,0.667
199,2013-14,O.J. Mayo,Giannis Antetokounmpo,14.0,0.667
200,2013-14,Miroslav Raduljica,Giannis Antetokounmpo,14.0,0.667
201,2013-14,DJ Stephens,Giannis Antetokounmpo,14.0,0.667
202,2013-14,Nate Wolters,Giannis Antetokounmpo,14.0,0.667
203,2013-14,Josh Smith,Giannis Antetokounmpo,14.0,0.667
204,2013-14,Greg Monroe,Giannis Antetokounmpo,14.0,0.667
205,2013-14,Andre Drummond,Giannis Antetokounmpo,14.0,0.667
206,2013-14,Kyle Singler,Giannis Antetokounmpo,14.0,0.667
207,2013-14,Brandon Jennings,Giannis Antetokounmpo,14.0,0.667
208,2013-14,Rodney Stuckey,Giannis Antetokounmpo,14.0,0.667
209,2013-14,Jonas Jerebko,Giannis Antetokounmpo,14.0,0.667
210,2013-14,Kentavious Caldwell-Pope,Giannis Antetokounmpo,14.0,0.667
211,2013-14,Will Bynum,Giannis Antetokounmpo,14.0,0.667
212,2013-14,Charlie Villanueva,Giannis Antetokounmpo,14.0,0.667
213,2013-14,Gigi Datome,Giannis Antetokounmpo,14.0,0.667
214,2013-14,Tony Mitchell,Giannis Antetokounmpo,14.0,0.667
215,2013-14,Peyton Siva,Giannis Antetokounmpo,14.0,0.667
216,2013-14,LeBron James,Giannis Antetokounmpo,1.0,0.0
217,2013-14,Udonis Haslem,Giannis Antetokounmpo,1.0,0.0
218,2013-14,Chris Bosh,Giannis Antetokounmpo,1.0,0.0
219,2013-14,James Jones,Giannis Antetokounmpo,1.0,0.0
220,2013-14,Toney Douglas,Giannis Antetokounmpo,1.0,0.0
221,2013-14,Chris Andersen,Giannis Antetokounmpo,1.0,0.0
222,2013-14,Norris Cole,Giannis Antetokounmpo,1.0,0.0
223,2013-14,Shane Battier,Giannis Antetokounmpo,1.0,0.0
224,2013-14,Rashard Lewis,Giannis Antetokounmpo,1.0,0.0
225,2013-14,Justin Hamilton,Giannis Antetokounmpo,1.0,0.0
226,2013-14,Michael Beasley,Giannis Antetokounmpo,1.0,0.0
227,2013-14,Mario Chalmers,Giannis Antetokounmpo,1.0,0.0
228,2013-14,Dwyane Wade,Giannis Antetokounmpo,1.0,0.0
229,2013-14,Khris Middleton,Giannis Antetokounmpo,1.0,0.0
230,2013-14,Jeff Adrien,Giannis Antetokounmpo,1.0,0.0
231,2013-14,Zaza Pachulia,Giannis Antetokounmpo,1.0,0.0
232,2013-14,Ramon Sessions,Giannis Antetokounmpo,1.0,0.0
233,2013-14,Brandon Knight,Giannis Antetokounmpo,1.0,0.0
234,2013-14,John Henson,Giannis Antetokounmpo,1.0,0.0
235,2013-14,Ekpe Udoh,Giannis Antetokounmpo,1.0,0.0
236,2013-14,DJ Stephens,Giannis Antetokounmpo,1.0,0.0
237,2013-14,Miroslav Raduljica,Giannis Antetokounmpo,1.0,0.0
238,2013-14,Ersan Ilyasova,Giannis Antetokounmpo,1.0,0.0
239,2013-14,O.J. Mayo,Giannis Antetokounmpo,1.0,0.0
240,2013-14,Nate Wolters,Giannis Antetokounmpo,1.0,0.0
241,2013-14,Wesley Johnson,Giannis Antetokounmpo,10.0,0.667
242,2013-14,Jordan Hill,Giannis Antetokounmpo,10.0,0.667
243,2013-14,Chris Kaman,Giannis Antetokounmpo,10.0,0.667
244,2013-14,Jodie Meeks,Giannis Antetokounmpo,10.0,0.667
245,2013-14,Kendall Marshall,Giannis Antetokounmpo,10.0,0.667
246,2013-14,Robert Sacre,Giannis Antetokounmpo,10.0,0.667
247,2013-14,Nick Young,Giannis Antetokounmpo,10.0,0.667
248,2013-14,Kent Bazemore,Giannis Antetokounmpo,10.0,0.667
249,2013-14,Xavier Henry,Giannis Antetokounmpo,10.0,0.667
250,2013-14,Ryan Kelly,Giannis Antetokounmpo,10.0,0.667
251,2013-14,MarShon Brooks,Giannis Antetokounmpo,10.0,0.667
252,2013-14,Pau Gasol,Giannis Antetokounmpo,10.0,0.667
253,2013-14,Steve Nash,Giannis Antetokounmpo,10.0,0.667
254,2013-14,Khris Middleton,Giannis Antetokounmpo,10.0,0.667
